"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
44;"Mohammed Kudus";"West Ham";33;2490;8;6;5.18;3.51;0.19;0.13
45;"Marcus Rashford";"Manchester United";33;2292;7;2;7.66;2.39;0.3;0.09
46;"James Ward-Prowse";"West Ham";37;3025;7;7;5.64;8.11;0.17;0.24
47;"Abdoulaye Doucouré";"Everton";32;2678;7;1;10.2;2.55;0.34;0.09
48;"Odsonne Edouard";"Crystal Palace";30;1534;7;0;7.87;1.04;0.46;0.06
49;"Raúl Jiménez";"Fulham";24;1423;7;0;5.99;1.69;0.38;0.11
50;"Declan Rice";"Arsenal";38;3256;7;8;3.19;5.9;0.09;0.16
51;"Dominic Calvert-Lewin";"Everton";32;2234;7;2;13.63;3.07;0.55;0.12
52;"Scott McTominay";"Manchester United";32;1861;7;1;6.78;1.06;0.33;0.05
53;"Justin Kluivert";"Bournemouth";32;2029;7;1;7.3;1.67;0.32;0.07
54;"Tomas Soucek";"West Ham";37;2885;7;2;7.47;2.15;0.23;0.07
55;"Bruno Guimarães";"Newcastle United";37;3292;7;8;4.98;7.89;0.14;0.22
56;"Alejandro Garnacho";"Manchester United";36;2601;7;4;9.87;5.92;0.34;0.2
57;"Michail Antonio";"West Ham";26;1775;6;2;6.03;1.56;0.31;0.08
58;"Oliver McBurnie";"Sheffield United";21;1290;6;3;7.43;2.19;0.52;0.15
59;"Neal Maupay";"Brentford,Everton";31;1381;6;3;7.23;2.38;0.47;0.16
60;"Bernardo Silva";"Manchester City";33;2599;6;9;4.1;8.53;0.14;0.3
61;"Jacob Bruun Larsen";"Burnley";32;1272;6;0;5.29;1.45;0.37;0.1
62;"Moussa Diaby";"Aston Villa";38;2233;6;8;6.46;8.62;0.26;0.35
63;"Bobby Reid";"Fulham";33;1431;6;2;5.47;1.58;0.34;0.1
64;"Sean Longstaff";"Newcastle United";35;2748;6;2;7.08;3.02;0.23;0.1
65;"John McGinn";"Aston Villa";35;3053;6;4;4.67;5.63;0.14;0.17
66;"Gabriel Martinelli";"Arsenal";35;2056;6;4;7.12;5.32;0.31;0.23
67;"Taiwo Awoniyi";"Nottingham Forest";20;1066;6;3;5.06;1.63;0.43;0.14
68;"Evan Ferguson";"Brighton";27;1364;6;0;3.97;0.65;0.26;0.04
69;"Simon Adingra";"Brighton";31;2256;6;1;5.1;3.3;0.2;0.13
70;"Ben Brereton Díaz";"Sheffield United";14;1134;6;1;6.06;1.64;0.48;0.13
71;"Alex Iwobi";"Everton,Fulham";32;2398;5;2;5.66;4.81;0.21;0.18
72;"Danny Welbeck";"Brighton";29;1723;5;1;6.24;2.19;0.33;0.11
73;"Ross Barkley";"Luton";32;2627;5;4;4.48;4.82;0.15;0.17
74;"Eddie Nketiah";"Arsenal";27;1036;5;2;5.06;1.21;0.44;0.11
75;"Harvey Barnes";"Newcastle United";21;738;5;3;3.47;4.21;0.42;0.51
76;"Morgan Gibbs-White";"Nottingham Forest";37;3177;5;10;6.07;9.52;0.17;0.27
77;"Cristian Romero";"Tottenham";33;2796;5;0;3.99;0.34;0.13;0.01
78;"Lyle Foster";"Burnley";24;1938;5;3;5.61;1.5;0.26;0.07
79;"Alexis Mac Allister";"Liverpool";33;2661;5;5;4;3.58;0.14;0.12
80;"Conor Gallagher";"Chelsea";37;3171;5;7;4.72;5.79;0.13;0.16
81;"Anthony Elanga";"Nottingham Forest";36;2430;5;9;6.77;7.09;0.25;0.26
82;"Brennan Johnson";"Nottingham Forest,Tottenham";35;2350;5;10;12.17;7.64;0.47;0.29
83;"Mykhailo Mudryk";"Chelsea";31;1563;5;2;5.11;3.89;0.29;0.22
84;"Noni Madueke";"Chelsea";23;1066;5;2;3;2.16;0.25;0.18
85;"Jhon Durán";"Aston Villa";23;394;5;0;1.95;0.21;0.45;0.05
86;"Zeki Amdouni";"Burnley";34;2025;5;1;6.1;1.49;0.27;0.07
87;"Fabian Schär";"Newcastle United";36;3057;4;1;2.68;1.22;0.08;0.04
88;"Pascal Groß";"Brighton";36;3107;4;10;6.08;8.45;0.18;0.24
89;"Kevin De Bruyne";"Manchester City";18;1233;4;10;2.58;11.98;0.19;0.87
90;"Idrissa Gueye";"Everton";25;1930;4;0;1.66;1.03;0.08;0.05
91;"Jordan Ayew";"Crystal Palace";35;2563;4;7;4.26;4.96;0.15;0.17
92;"Willian";"Fulham";31;2080;4;2;5.02;4.15;0.22;0.18
93;"Ivan Toney";"Brentford";17;1447;4;2;7.13;2.19;0.44;0.14
94;"Mario Lemina";"Wolverhampton Wanderers";35;3002;4;1;4.61;1.79;0.14;0.05
95;"Pablo Sarabia";"Wolverhampton Wanderers";30;1763;4;7;5.98;6.07;0.31;0.31
96;"Gabriel Jesus";"Arsenal";27;1496;4;5;7.29;4.24;0.44;0.25
97;"Harry Wilson";"Fulham";35;1576;4;6;2.82;3.15;0.16;0.18
98;"James Maddison";"Tottenham";28;2206;4;9;6.3;7.14;0.26;0.29
99;"Ben White";"Arsenal";37;3024;4;4;2.02;4.76;0.06;0.14
100;"Lucas Paquetá";"West Ham";31;2676;4;6;4.61;5.83;0.15;0.2
101;"Tahith Chong";"Luton";33;1978;4;0;3.52;0.44;0.16;0.02
102;"Josh Brownhill";"Burnley";33;2229;4;2;1.83;1.83;0.07;0.07
103;"Josko Gvardiol";"Manchester City";28;2335;4;1;3.08;2.12;0.12;0.08
104;"Cameron Archer";"Aston Villa,Sheffield United";30;1870;4;1;5.79;2.98;0.28;0.14
105;"João Palhinha";"Fulham";33;2742;4;1;3.25;0.85;0.11;0.03
106;"Marcos Senesi";"Bournemouth";31;2253;4;5;2.37;1.88;0.09;0.08
107;"David Datro Fofana";"Burnley";15;876;4;1;4.03;1.49;0.41;0.15
108;"Chiedozie Ogbene";"Luton";30;1984;4;1;4.81;3.47;0.22;0.16
109;"Gustavo Hamer";"Sheffield United";36;2986;4;6;2.41;6.99;0.07;0.21
110;"Jack Grealish";"Manchester City";20;975;3;1;2.38;2.77;0.22;0.26
